$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
4013E2,G-AFZL,Private,Porterfield CP-50,CP65,Civ,Tail Dragger,Highwing,Training And Touring,Historic,https://en.wikipedia.org/wiki/Porterfield_Collegiate,https://cdn.jetphotos.com/full/6/23907_1630250069.jpg,https://cdn.jetphotos.com/full/6/17021_1591035195.jpg,https://cdn.jetphotos.com/full/5/51868_1540039898.jpg,
4013F9,G-AGYY,Private,Ryan Recruit ST3-KR,PT22,Civ,Basic Trainer,Open Cockpit,Shiny,Historic,https://en.wikipedia.org/wiki/Ryan_ST,https://cdn.jetphotos.com/full/2/83711_1243949126.jpg,https://cdn.jetphotos.com/full/6/98753_1604226923.jpg,https://cdn.jetphotos.com/full/5/29739_1561557224.jpg,
4013FE,G-AHAU,Private,Auster J/1 Autocrat,J1,Civ,High Wing,Touring,I Am Old,Historic,https://en.wikipedia.org/wiki/Auster_Autocrat,https://live.staticflickr.com/4212/34754689614_efb2969c71_b.jpg,https://live.staticflickr.com/929/41912114150_e5c76190fc_h.jpg,https://live.staticflickr.com/1731/42646376662_1614b2a1d1_b.jpg,
401407,G-AHIZ,Private,De Havilland DH-82A Tiger Moth,DH82,Civ,Biplane,History,Old Stuff,Historic,https://en.wikipedia.org/wiki/De_Havilland_Tiger_Moth,https://live.staticflickr.com/1897/44281449122_10bc7f4756_k.jpg,https://live.staticflickr.com/5505/11609780495_e1bfd8a5e7_h.jpg,https://live.staticflickr.com/5347/8750203597_6aa758bd27_k.jpg,
401419,G-AIDL,Cirrus Aviation,De Havilland DH-89A Dragon Rapide,DH89,Civ,Streamlined,Biplane,Art Deco,Historic,https://en.wikipedia.org/wiki/De_Havilland_Dragon_Rapide,https://cdn.jetphotos.com/full/6/86339_1637080759.jpg,https://cdn.jetphotos.com/full/6/94248_1616859613.jpg,https://cdn.jetphotos.com/full/6/99906_1571332739.jpg,
40142B,G-AIYR,Classic Wings,De Havilland DH-89A Dragon Rapide,DH89,Civ,Streamlined,Biplane,Art Deco,Historic,https://en.wikipedia.org/wiki/De_Havilland_Dragon_Rapide,https://cdn.jetphotos.com/full/6/93612_1637080819.jpg,https://cdn.jetphotos.com/full/6/84106_1629864482.jpg,https://cdn.jetphotos.com/full/5/15836_1629864426.jpg,
40144E,G-AKHP,Private,Miles Gemini 1A,GEMI,Civ,Twin Engine,Historic,Rare,Historic,https://en.wikipedia.org/wiki/Miles_Gemini,https://cdn.jetphotos.com/full/6/69290_1646425134.jpg,https://cdn.jetphotos.com/full/6/76517_1637008373.jpg,https://cdn.jetphotos.com/full/6/37192_1561627385.jpg,
401460,G-ALBK,Private,Taylorcraft Auster V,AUS5,Civ,Liason,Observation,I Am Old,Historic,https://en.wikipedia.org/wiki/Taylorcraft_Auster,https://cdn.jetphotos.com/full/1/64021_1150187191.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/G-ALBK_Taylorcraft_Auster_5_CVT_12-08-15_%2820512659602%29.jpg,https://www.aerialvisuals.ca/Airframe/Gallery/0/49/0000049335.jpg,
40146B,G-ALUC,Private,De Havilland DH-82A Tiger Moth,DH82,Civ,Biplane,History,Old Stuff,Historic,https://en.wikipedia.org/wiki/De_Havilland_Tiger_Moth,https://cdn.jetphotos.com/full/6/77745_1445946421.jpg,https://cdn.jetphotos.com/full/4/66632_1348571843.jpg,https://cdn.jetphotos.com/full/4/17555_1348571726.jpg,
401480,G-AMZT,Private,Auster J/5F Aiglet Trainer,AIGT,Civ,Highwing,Training Wheels,I Am Old,Historic,https://en.wikipedia.org/wiki/Auster_Aiglet_Trainer,https://cdn.jetphotos.com/full/6/36983_1438856803.jpg,https://cdn.jetphotos.com/full/4/92193_1350593431.jpg,https://cdn.jetphotos.com/full/3/96052_1343855262.jpg,
401491,G-ANHX,Private,Auster AOP.5,AUS6,Civ,Observation,Liason,WW2,Historic,http://www.aerialvisuals.ca/AirframeDossier.php?Serial=114444,https://live.staticflickr.com/1805/28989188108_81a4159c1c_h.jpg,https://live.staticflickr.com/65535/49204939531_a24a0c854e_k.jpg,https://live.staticflickr.com/65535/50368209793_74181c4728_k.jpg,
